Size,Time(ms)
500,0.399108
600,0.485367
700,0.569642
800,0.648275
900,0.719225
1000,0.778958
1100,0.863442
1200,0.96655
1300,1.06708
1400,1.11744
1500,1.14728
1600,1.23307
1700,1.32824
1800,1.41847
1900,1.48731
2000,1.57603
2100,1.6677
2200,1.75323
2300,1.86391
2400,1.88422
2500,1.968
2600,2.02719
2700,2.10913
2800,2.19592
2900,2.28068
3000,2.34983
3100,2.40843
3200,2.49808
3300,2.64208
3400,2.71906
3500,2.76279
3600,2.85017
3700,2.98882
3800,3.02608
3900,3.09161
4000,3.27481
4100,3.28389
4200,3.39594
4300,3.4317
4400,3.52028
4500,3.62751
4600,3.67992
4700,3.71467
4800,3.76537
4900,3.86513
5000,3.99549
5100,4.07831
5200,4.15623
5300,4.25721
5400,4.31191
5500,4.40017
5600,4.49376
5700,4.64152
5800,4.71729
5900,4.67396
6000,4.75568
6100,4.81517
6200,5.00696
6300,5.03038
6400,5.115
6500,5.1702
6600,5.23565
6700,5.29883
6800,5.38731
6900,5.46004
7000,5.57012
7100,5.62652
7200,5.69894
7300,5.79209
7400,5.87402
7500,5.9718
7600,6.02492
7700,6.13598
7800,6.19619
7900,6.36359
8000,6.43909
8100,6.44066
8200,6.52868
8300,6.62033
8400,6.73841
8500,6.77447
8600,6.78563
8700,6.92633
8800,7.02307
8900,7.14887
9000,7.15308
9100,7.27188
9200,7.36738
9300,7.50594
9400,7.56138
9500,7.61866
9600,7.75485
9700,7.87673
9800,7.84657
9900,7.96502
10000,7.98706
